ID;ENGLISH;FRENCH;LANGUAGE_3;LANGUAGE_4;LANGUAGE_5;LANGUAGE_6;LANGUAGE_7;LANGUAGE_8;LANGUAGE_9;LANGUAGE_10;
voM001_EN;Master, classes at the university have not\nbeen going as I expected.;;;;;;;;;;
voM002_EN;Teaching about the stars while knowing you\nmight be among them...;;;;;;;;;;
voM003_EN;It is harder than I want to admit.;;;;;;;;;;
voM004_EN;I know that’s what you wanted, for me to take\nyour place and carry your legacy.;;;;;;;;;;
voM006_EN;Your hard stare over my shoulder,\nyour harsh and well advised words,;;;;;;;;;;
voM007_EN;they made me who I am.;;;;;;;;;;
voM008_EN;Thinking I could fail your teachings makes me scared\nto lose what is left of you.;;;;;;;;;;
voM009_EN;My brother told me I should move on,\nthat this pain will end.;;;;;;;;;;
voM010_EN;Weeks have passed and yet,\nyour last words still echo in my head :;;;;;;;;;;
voM011_EN;"Every star is worth being known";;;;;;;;;;
voM005_EN;I swore I would, but right now...\nI might go back on my words.;;;;;;;;;;
voM012_EN;But to know every star... This will take a lifetime;;;;;;;;;;
voM013_EN;At least the night sky will always be here no matter what...;;;;;;;;;;
voM014_EN;What was that?;;;;;;;;;;
voM015_EN;Nobody else saw that?;;;;;;;;;;
voM016_EN;What is this thing?;;;;;;;;;;
voM017_EN;It has to be somewhere around here.;;;;;;;;;;
