ID;ENGLISH;FRENCH;LANGUAGE_3;LANGUAGE_4;LANGUAGE_5;LANGUAGE_6;LANGUAGE_7;LANGUAGE_8;LANGUAGE_9;LANGUAGE_10
NEW_GAME;New Game;Nouvelle Partie;;;;;;;;
CONTINUE;Continue;Continuer;;;;;;;;
LEVELS;Levels;Niveaux;;;;;;;;
SETTINGS;Settings;Paramètres;;;;;;;;
QUIT;Quit;Quitter;;;;;;;;
NO;No;Non;;;;;;;;
YES;Yes;Oui;;;;;;;;
BACK;Back;Retour;;;;;;;;
AUDIO;Audio;Audio;;;;;;;;
CAMERA;Camera;Camera;;;;;;;;
ACCESSIBILITY;Accessibility;Accessibilité;;;;;;;;
GENERAL;General;Général;;;;;;;;
MUSIC;Music;Musique;;;;;;;;
SOUND;Sound;Effets sonores;;;;;;;;
VOICE;Voice;Voix;;;;;;;;
FOV;FOV;Champ de vision;;;;;;;;
CAMERA_SENSITIVITY;Camera Sensitivity;Sensibilité;;;;;;;;
MOTION_BLUR;Motion Blur;Flou de Mouvement;;;;;;;;
LANGUAGE;Language;Langue;;;;;;;;
RUMBLE;Rumble;Vibrations;;;;;;;;
PREVIEW;Preview;Prévisualisation;;;;;;;;
ONE_HAND_MODE;One Hand Mode;Mode "Une Main";;;;;;;;
GENERAL_DESC;Controls the global sound volume;Contrôle le volume global du jeu;;;;;;;;
MUSIC_DESC;Controls the music global volume;Contrôle le volume de la musique;;;;;;;;
SOUND_DESC;Controls the sound effects' volume;Contrôle le volume des effets sonores;;;;;;;;
VOICE_DESC;Controls the sound level of the voice lines;Contrôle le volume des dialogues;;;;;;;;
FOV_DESC;Changes the angle of the player's field of view;Change l'angle du champ de vision du joueur;;;;;;;;
SENSITIVITY_DESC;Affects the speed at witch the camera moves;Modifie la vitesse à laquelle la camera se déplace;;;;;;;;
MOTION_BLUR_DESC;Enables/Disables motion blur;Active/Désactive le flou de mouvement;;;;;;;;
LANGUAGE_DESC;Changes the game language;Change la langue du jeu;;;;;;;;
RUMBLE_DESC;Enables/Disables controller vibration;Active/Désactive les vibrations de la manette;;;;;;;;
PREVIEW_DESC;Enables/Disable preview feature;Active/Désactive la prévisualition des mouvements du cube;;;;;;;;
ONE_HAND_MODE_DESC;Enables/Disables one handed mode;Active/Désactive le mode "une main";;;;;;;;
QUIT_GAME;Quit Game;Quitter le Jeu;;;;;;;;
ARE_YOU_SURE;Are you sure ?;Confirmer ?;;;;;;;;
SKIP;Skip;Passer;;;;;;;;
PRESS_ANYWHERE;Press anywhere to start;Appuyez n'importe où pour commencer;;;;;;;;
ANY_KEY;Press any key;Appuyez n'importe quelle touche;;;;;;;;
CURRENT_LANGUAGE;English;Français;;;;;;;;
ENABLED;Enabled;Activé;;;;;;;;
DISABLED;Disabled;Désactivé;;;;;;;;
