ID;ENGLISH;FRENCH;LANGUAGE_3;LANGUAGE_4;LANGUAGE_5;LANGUAGE_6;LANGUAGE_7;LANGUAGE_8;LANGUAGE_9;LANGUAGE_10;
12_1_Mariam;Hello? Can you- Are you still there?;;;;;;;;;;
12_2_Silpha;We’re connected now. I can hear you, you can hear me.;;;;;;;;;;
12_4_Mariam;So… you said you were offering me immortality, \n how is it even possible?;;;;;;;;;;
12_5_Silpha;It is this prototype’s whole purpose,  \n within these walls, I have defeated death. ;;;;;;;;;;
13_1_Mariam;Defeat death, this is… This is all too much.;;;;;;;;;;
13_2_Silpha;I told you, I’m a scientist, like you, just… \n From a world different than yours.;;;;;;;;;;
13_3_Silpha;Quite an interesting mentor you had… \n Although he is incorrect.;;;;;;;;;;
13_4_Mariam;You’re the one who’s been looking at my memories!;;;;;;;;;;
13_5_Silpha;Nothing that happens here escapes my divided attention.;;;;;;;;;;
6_1_Mariam;Master’s journal, what is it doing here?;;;;;;;;;;
6_2_Mariam;But this happened two months ago, how… \n Is this place reading my mind?;;;;;;;;;;
6_3_Mariam;It feels like I’ve known him all my life, \n but now that he’s gone… I hate thinking about it.;;;;;;;;;;
11_1_Mariam;Mariam : Am I ever getting out of here...;;;;;;;;;;
11_2_Mariam;Mariam : These two...;;;;;;;;;;
